"Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","AirlineCluster_K.cluster"
15283,0,1250,3,0,0,7132,4
105423,0,20802,14,0,0,7078,4
312512,0,100,1,100,1,7078,4
13680,0,0,0,0,0,7073,4
41279,0,14462,20,1650,6,7064,4
25313,0,7491,13,0,0,7064,4
148691,0,3000,3,1000,2,7064,4
224081,0,40108,15,150,2,7059,1
51088,0,0,0,0,0,7057,4
95305,0,3189,13,0,0,7054,4
22080,0,12200,47,1950,9,7050,3
11660,0,140,1,0,0,7050,4
222227,0,38127,14,500,1,7047,1
16200,0,160,1,0,0,7043,4
38227,0,8612,13,0,0,7036,4
80214,0,500,1,500,1,7029,4
53985,0,1000,1,0,0,7029,4
14414,0,0,0,0,0,7024,4
44457,0,225,3,0,0,7026,4
161813,0,126941,20,0,0,7026,1
138020,0,6568,15,0,0,7024,4
107707,0,19407,25,2211,12,7024,2
95656,0,62666,27,0,0,7019,1
149678,0,0,0,0,0,7022,4
15113,0,10574,19,0,0,7017,4
231,0,29900,24,5300,15,7015,2
22380,0,300,2,200,1,7010,4
146263,0,20853,21,350,1,7001,4
24598,0,0,0,0,0,7040,4
76150,0,36907,17,0,0,6998,4
377252,0,230629,30,6393,13,6996,2
167670,0,15907,13,0,0,6994,4
86853,0,42293,21,500,1,6980,1
479989,0,66516,26,1600,6,6980,1
28193,0,103456,32,0,0,6980,1
67086,0,18157,16,0,0,6974,4
35969,0,11665,21,0,0,6977,4
53790,0,28717,19,0,0,8296,4
198859,0,17855,14,500,1,8296,4
91939,0,1244,8,0,0,8296,4
88449,0,11402,18,1450,5,8296,4
54842,0,20792,15,0,0,8296,4
11189,0,9044,20,0,0,8296,4
16999,0,140,1,0,0,8296,4
114713,0,7142,18,0,0,8296,4
1612,0,955,9,0,0,8296,4
97763,0,2000,9,0,0,8296,4
15129,0,0,0,0,0,8296,4
15669,0,1205,4,0,0,8296,4
26720,0,913,3,0,0,8296,4
205292,0,5471,13,0,0,8296,4
56635,0,1024,8,359,2,8296,4
127297,0,8510,12,0,0,8296,4
8927,0,0,0,0,0,8296,4
507506,1952,102279,32,4485,13,8296,2
145723,0,59858,16,0,0,8296,1
6458,0,0,0,0,0,8296,4
267640,0,6000,3,0,0,8296,4
5581,0,0,0,0,0,8296,4
10732,0,1296,6,0,0,8296,4
620498,0,25395,53,1750,14,8296,2
68963,0,37723,15,0,0,8296,4
109640,0,66983,38,5500,17,8296,2
225802,0,74340,16,200,2,8296,1
58452,0,0,0,0,0,8296,4
109087,0,10462,16,0,0,8296,4
68286,0,22831,13,0,0,8296,4
68464,0,240,3,0,0,8296,4
131960,2000,16081,8,0,0,8296,4
199956,1178,0,0,0,0,8296,4
529886,7210,23866,26,7741,15,8296,2
23529,0,500,1,0,0,8296,4
190295,0,3501,15,0,0,8296,4
21083,0,129330,16,1000,2,8296,1
117860,0,62758,15,0,0,8296,1
118844,0,28731,17,400,2,8289,4
60493,0,9000,1,0,0,8289,4
491987,0,68007,23,700,2,8289,1
87692,0,2310,6,500,1,8289,4
78028,0,36269,24,0,0,8289,4
251286,0,0,0,0,0,8289,4
17575,0,0,0,0,0,8289,4
50431,0,1000,1,0,0,8289,4
153597,0,56567,18,0,0,8289,1
74579,0,4600,11,600,8,8289,4
2494,0,0,0,0,0,8289,4
96031,0,46588,21,0,0,8289,1
353678,0,141230,28,1450,5,8289,1
50052,0,49383,13,0,0,8289,4
13381,0,1000,8,0,0,8289,4
25123,0,2030,6,0,0,8289,4
132555,0,24775,31,350,1,8289,1
14528,0,6000,7,3000,6,8289,4
24038,0,6290,14,0,0,8289,4
192104,0,39010,53,1750,8,8289,1
106773,0,12900,10,1400,8,8289,4
229397,0,22873,13,0,0,8289,4
14732,0,100,1,0,0,8289,4
383129,0,23608,16,500,1,8289,1
11431,0,1759,4,759,3,8289,4
175461,0,40997,14,0,0,8289,1
52953,0,500,1,0,0,8289,4
182291,0,24155,22,0,0,8289,4
198317,0,61714,16,0,0,8289,1
49053,0,6498,18,950,5,8289,4
22772,0,0,0,0,0,8289,4
34170,0,15476,20,150,1,8289,4
158483,0,9018,11,0,0,8289,4
43285,0,28613,14,0,0,8252,4
52980,0,17078,14,0,0,8237,4
74342,0,4389,12,0,0,8228,4
139849,0,19946,15,0,0,8228,4
26080,0,9872,13,0,0,8228,4
29469,0,2522,4,0,0,8228,4
189252,0,2991,15,0,0,8228,4
382546,0,136619,34,3000,6,8228,1
1113394,2015,60883,26,2600,9,8228,1
459681,0,95531,17,0,0,8228,1
83590,0,3708,22,0,0,8228,4
82528,0,2100,5,600,4,8228,4
5600,0,125,1,0,0,8228,4
743745,2066,4100,20,2500,18,8228,2
43954,0,63463,13,250,1,8228,1
52005,0,11870,15,100,1,8228,4
45494,0,5021,16,600,2,8228,4
171509,0,40090,55,6381,23,8151,2
235947,0,3982,16,0,0,8145,4
153108,0,25802,14,500,1,8137,4
260261,0,33047,21,0,0,8146,1
80223,0,21248,26,2050,7,8121,4
38716,0,8253,21,0,0,8114,4
1125076,0,23046,14,0,0,8107,1
10954,500,2500,1,0,0,8095,4
97099,0,6325,21,1700,5,8085,4
62396,2128,1250,3,0,0,8075,4
40645,0,18348,13,0,0,8067,4
82655,0,101101,19,700,2,8057,1
84035,0,4240,6,1600,4,8114,4
1199220,2919,3800,19,3300,18,8023,2
86345,0,13415,16,350,2,8009,4
2701,0,5000,10,0,0,8002,4
46874,0,9689,38,500,1,7990,3
10879,0,78186,32,3400,12,7981,2
12742,0,0,0,0,0,7966,4
122904,0,37380,21,1300,4,7956,1
10994,0,1250,3,0,0,8007,4
2318,0,8747,14,0,0,7945,4
11070,0,0,0,0,0,7939,4
21921,0,0,0,0,0,7939,4
162521,0,57354,25,0,0,8105,1
207545,0,11137,34,4387,12,8105,2
86112,0,35528,22,0,0,8105,4
18328,0,0,0,0,0,6790,4
217557,0,97584,19,550,2,6679,1
11504,0,100,1,0,0,6675,4
143200,0,79837,28,50,1,6667,1
160703,0,32560,12,0,0,6666,4
910,0,5172,13,0,0,6662,4
94105,0,100,1,0,0,6676,4
18422,0,3297,13,0,0,6653,4
889456,1024,98959,29,850,4,6652,1
9800,589,10348,34,3000,25,6651,2
148318,0,51197,22,350,2,6648,1
26149,0,5190,6,0,0,6646,4
76933,0,28075,17,0,0,6646,4
346178,0,63803,16,0,0,6645,1
22878,0,9039,32,0,0,6641,3
66741,2880,71921,30,2600,7,6638,1
134060,0,46606,13,0,0,6637,1
3305,0,31465,24,1700,10,6633,3
28930,0,8185,17,0,0,6630,4
208519,0,4040,6,450,2,6627,4
58951,0,47994,15,500,1,6625,4
25395,0,2000,1,0,0,6624,4
109248,0,6828,11,0,0,6618,4
43387,0,4942,13,0,0,6613,4
52423,0,26926,13,0,0,6611,4
26858,500,34308,17,900,3,6606,4
5410,0,45890,22,0,0,6603,3
18177,0,12040,12,0,0,6690,4
413509,0,2500,1,0,0,6598,4
98472,1776,124421,45,10250,28,6621,2
86520,3445,64450,20,1000,2,6592,1
16648,0,625,4,0,0,6588,4
267404,0,263685,51,3000,6,6584,1
31478,0,18885,18,0,0,6578,4
17445,0,4500,3,500,1,6576,4
49052,0,46718,17,0,0,6575,3
21689,0,0,0,0,0,6570,4
18302,0,2197,10,0,0,6569,4
26220,0,2775,11,0,0,6647,4
59552,0,7551,22,0,0,6473,4
34962,0,252,3,0,0,6208,4
16153,0,180,1,0,0,6491,4
28931,0,6500,4,500,1,6354,4
202636,0,19000,5,0,0,6119,4
153962,0,90992,21,0,0,6567,1
63311,0,25048,14,0,0,6634,4
8561,0,2050,8,1300,2,6675,4
256219,0,29823,33,6568,16,6561,2
122700,0,18604,13,0,0,6556,4
81419,0,7769,12,350,1,6599,4
13873,0,4833,20,0,0,6519,4
148,0,190,2,0,0,6507,4
178919,0,23387,17,0,0,6555,4
19702,0,3000,1,0,0,6554,4
18820,0,0,0,0,0,6549,4
213849,0,500,1,0,0,6549,4
28077,0,735,6,500,1,6575,4
4528,0,290,1,0,0,6565,4
40418,0,12678,12,0,0,6541,4
380930,0,22485,25,213,1,6539,1
176849,0,7700,11,950,4,6539,4
71235,0,41004,14,0,0,6535,4
76446,0,63811,17,0,0,6550,1
148915,0,23522,16,650,2,6532,4
65034,0,14331,16,800,3,6541,4
35738,0,41264,16,0,0,6526,4
313,0,1600,1,0,0,6525,4
55703,0,0,0,0,0,6520,4
11613,0,2000,1,0,0,6519,4
65672,0,29089,13,0,0,6529,4
84785,0,4570,14,0,0,6514,4
30592,862,2602,7,0,0,6512,4
99293,0,81040,23,1000,2,6508,1
51830,0,0,0,0,0,6507,4
20126,0,78999,28,800,3,6506,1
3294,0,1330,2,0,0,6498,4
11143,0,2800,6,800,5,6529,4
8250,0,250,2,0,0,6486,4
117670,0,53043,19,550,1,6505,1
49454,0,9548,22,250,1,6501,4
58421,0,1000,1,0,0,6532,4
33443,0,0,0,0,0,6476,4
13886,0,0,0,0,0,6465,4
15349,0,250,2,0,0,6457,4
78712,0,0,0,0,0,6433,4
89742,0,39073,13,0,0,6498,4
31311,0,3961,10,0,0,6494,4
133445,8264,3375,13,0,0,6492,1
136161,0,6032,15,0,0,6463,4
9998,0,0,0,0,0,6448,4
37904,0,19052,17,0,0,6487,4
41243,0,27971,7,300,1,6483,4
54011,1604,38380,20,5780,4,6487,2
5351,0,100,1,0,0,6450,4
23334,0,0,0,0,0,6441,4
11255,0,0,0,0,0,6428,4
48127,0,41447,28,0,0,6421,3
329497,0,57264,12,0,0,6484,1
158895,0,41954,15,0,0,6525,1
34540,0,27882,13,0,0,6494,4
117623,0,86582,26,1000,6,6477,1
126409,0,28460,13,0,0,6478,4
112843,0,16137,14,0,0,6472,4
117240,0,1200,3,700,2,6471,4
7216,0,21419,18,0,0,6470,4
26412,0,5086,2,0,0,6552,4
427528,0,35098,16,1600,3,6465,1
1846,0,450,1,0,0,6471,4
45830,0,23404,10,0,0,6459,4
179042,0,25078,50,3350,15,6456,2
41487,500,10885,7,0,0,6451,4
39601,0,3733,9,0,0,6450,4
46142,0,14445,13,0,0,6452,4
110277,0,37110,18,1500,3,6445,1
122928,0,12211,14,0,0,6443,4
146599,0,16463,16,1000,2,6444,4
338656,0,52908,16,0,0,6444,1
54125,0,48874,17,450,3,6463,3
29861,0,28190,15,0,0,6407,4
126148,0,6273,8,0,0,6435,4
62080,2975,19113,32,10650,28,6434,2
175131,0,53495,15,0,0,6431,1
365918,0,83752,23,1373,7,6429,1
105547,0,24973,26,500,1,6415,3
67615,0,14168,13,0,0,6413,4
33554,0,27410,16,350,1,6428,4
163083,0,3825,9,450,4,6428,4
747983,0,26117,15,50,1,6427,1
415070,588,153183,41,3802,20,6423,2
18111,0,4625,26,0,0,6463,4
41526,0,0,0,0,0,6406,4
38021,0,5538,9,0,0,6407,4
17500,0,0,0,0,0,6400,4
5906,0,280,1,0,0,6395,4
70133,0,7396,16,0,0,6392,4
32010,0,12315,6,650,2,6421,4
82605,0,23049,15,0,0,6417,4
77285,0,63841,32,0,0,6417,1
15219,0,0,0,0,0,6427,4
54889,0,13150,4,0,0,6438,4
8910,0,150,1,150,1,6413,4
49891,0,500,1,500,1,6392,4
10484,0,0,0,0,0,6375,4
15496,0,0,0,0,0,6324,4
16714,0,0,0,0,0,6214,4
25835,0,15153,15,0,0,6142,4
3487,0,710,1,0,0,6059,4
347096,0,12000,6,0,0,6408,4
155962,1199,16510,16,50,1,6406,4
160572,0,8163,18,500,1,6403,4
257068,2586,5900,4,400,1,6420,4
48410,0,37869,16,500,1,6395,4
33269,0,4675,10,200,1,6396,4
25685,0,185,3,0,0,6382,4
50500,0,4765,14,0,0,6380,4
97486,0,22707,15,0,0,6387,4
323459,0,12000,8,1500,3,6378,4
11821,0,10697,10,0,0,6387,4
37039,0,29976,18,0,0,6375,4
28306,0,233,3,0,0,6371,4
109532,0,128048,53,7939,26,6372,2
91974,0,19223,18,500,1,6372,4
65823,0,28208,19,300,3,6373,4
104824,0,14582,15,0,0,6366,4
16061,0,2750,11,0,0,6366,4
55237,0,5547,14,0,0,6358,4
10491,0,5025,11,150,1,6357,4
192334,0,33950,21,1450,4,6366,1
45501,0,49656,17,316,1,6375,3
18661,0,0,0,0,0,6352,4
89668,0,29130,14,0,0,6350,4
53327,0,8650,6,650,2,6350,4
133143,0,43643,14,50,1,6385,1
22268,0,23582,15,200,1,6339,4
26556,3490,2845,14,720,4,6339,4
9601,0,20467,16,0,0,6338,4
280561,0,12154,13,0,0,6337,4
146248,0,2900,4,1400,3,6333,4
9483,0,1000,1,0,0,6340,4
119082,5051,4230,17,3600,14,6340,2
232171,0,22258,30,650,2,6340,1
369816,1745,46942,35,7266,17,6340,2
37381,0,6091,16,0,0,6332,4
173543,0,92752,25,0,0,6329,1
31211,0,280,4,100,1,6330,4
47780,0,88773,20,250,2,6329,1
79479,0,23167,13,0,0,6118,4
81960,0,37072,22,700,7,6326,3
20162,0,2750,15,0,0,6324,4
105683,0,28386,17,0,0,6361,4
234327,0,30406,28,150,2,6319,1
463494,0,27390,17,750,1,6323,1
17334,0,6783,27,50,1,6318,3
57909,0,5150,4,0,0,6323,4
17949,0,0,0,0,0,6312,4
529477,0,31624,28,2098,5,6311,1
71543,0,0,0,0,0,6305,4
111897,0,14728,14,0,0,6310,4
61598,0,0,0,0,0,6311,4
417875,0,44472,18,0,0,6308,1
340874,0,68090,43,5676,27,6305,2
32774,0,0,0,0,0,6304,4
242910,1115,103935,18,500,1,6296,1
137843,0,45416,24,250,1,6302,1
30530,0,5590,12,2950,9,6298,4
30973,0,0,0,0,0,6298,4
238749,0,7134,14,3134,12,6297,2
16803,0,1287,6,0,0,6291,4
23553,810,1587,4,487,2,6295,4
48161,0,41174,24,0,0,6294,3
21616,0,0,0,0,0,6291,4
13114,0,14029,13,0,0,6289,4
117120,0,41278,17,500,1,6288,1
52987,0,17510,15,0,0,6289,4
150176,0,29999,17,400,1,6284,4
19002,0,22675,21,0,0,6277,4
60976,0,97318,31,7000,14,6282,2
50675,0,1100,2,100,1,6282,4
65466,0,5488,13,0,0,6280,4
64280,0,21721,18,0,0,6280,4
14523,0,4197,4,0,0,6276,4
384470,0,20468,16,0,0,6280,1
9157,0,75,2,0,0,6274,4
151904,733,76440,25,950,8,6273,1
13781,0,48914,19,500,1,6269,3
40567,0,18122,16,0,0,6268,4
